category,subcategory,question,answer,reasoning,source
Geometry,geometry,"ein metallisches blech hat eine rechteckige form mit den abmessungen 48 m x 36 m. von jeder seiner ecken wird ein quadrat abgeschnitten, so dass ein offener kasten entsteht. wenn die länge des quadrats 3 m beträgt, ist das volumen des kastens (in m 3) :",3780.0,"n0 = 48.0
n1 = 36.0
n2 = 3.0
n3 = 3.0
t0 = n2 * 2.0
t1 = n0 - t0
t2 = n1 - t0
answer = n2 * t1 * t2
print(answer)",MathQA_Geometry
Geometry,geometry,"Ein Kreisdiagramm zeigt, wie das Budget eines bestimmten Unternehmens ausgegeben wurde: 55 Prozent für Gehälter, 9 Prozent für Forschung und Entwicklung, 5 Prozent für Versorgungsleistungen, 4 Prozent für Ausrüstung, 2 Prozent für Verbrauchsmaterial und der Rest für Transport. Wenn die Fläche jedes Sektors des Diagramms proportional zu dem Prozentsatz des Budgets ist, den er darstellt, wie viele Grad des Kreises werden verwendet, um Transport darzustellen?",90.0,"n0 = 55.0
n1 = 9.0
n2 = 5.0
n3 = 4.0
n4 = 2.0
t0 = n0 + n1
t1 = n2 + t0
t2 = n3 + t1
t3 = n4 + t2
t4 = 100.0 - t3
t5 = t4 * 360.0
answer = t5 / 100.0
print(answer)",MathQA_Geometry
Geometry,geometry,"Wenn eine rechteckige Plakatwand eine Fläche von 91 Quadratfuß und einen Umfang von 40 Fuß hat, wie lang ist dann jede der kürzeren Seiten?",7.0,"import math
n0 = 91.0
n1 = 40.0
t0 = n1 / 2.0
t1 = n0 * 4.0
t2 = t0**min(2.0, 5)
t3 = t2 - t1
t4 = math.sqrt(max(0, t3))
t5 = t0 - t4
answer = t5 / 2.0
print(answer)",MathQA_Geometry
Geometry,geometry,"Ein Volumen von 11248 l Wasser befindet sich in einem Kugelbehälter. Wie viele Halbkugeln mit einem Volumen von je 4 l werden benötigt, um das gesamte Wasser in die kleinen Halbkugeln zu leiten?",2812.0,"n0 = 11248.0
n1 = 4.0

answer = n0 / n1
print(answer)",MathQA_Geometry
Geometry,geometry,"ein Saal ist 15 m lang und 12 m breit. Wenn die Summe der Flächen des Bodens und der Decke gleich der Summe der Flächen von 4 Wänden ist, ist das Volumen der Halle:",1200.0,"n0 = 15.0
n1 = 12.0
t0 = n1 * 2.0
t1 = n0 * 2.0
t2 = n0 * n1  # area of rectangle
t3 = t0 + t1
t4 = t2 * 2.0
t5 = t4 / t3
answer = n0 * n1 * t5
print(answer)",MathQA_Geometry
Geometry,geometry,"der parameter eines quadrats ist gleich dem umfang eines rechtecks der länge 20 cm und der breite 14 cm. finden sie den umfang eines halbkreises, dessen durchmesser gleich der seite des quadrats ist. ( runden sie ihre antwort auf zwei dezimalstellen ab )",26.703537555513243,"import math
n0 = 20.0
n1 = 14.0
t0 = 2 * (n0 + n1)  # perimetere of rectangle
t1 = t0 / 4. # square edge given perimeter
t2 = t1 / 2.0
t3 = 2 * math.pi * t2
answer = t3 / 2.0
print(answer)",MathQA_Geometry
Geometry,geometry,"eine lampe wird auf eine ecke eines quadratischen grundstücks von 50 m länge gestellt. ihr licht erreicht 21 m. wie groß ist die fläche des grundstücks, die von der lampe beleuchtet wird?",346.3605900582747,"import math
n0 = 50.0
n1 = 21.0
t0 = math.pi * n1**2
answer = t0 / 4.0
print(answer)",MathQA_Geometry
Geometry,geometry,"eine bestimmte rechteckige kiste hat die maße 12 fuß mal 16 fuß mal 18 fuß. ein zylindrischer gasbehälter soll für den versand in der kiste hergestellt werden und aufrecht stehen, wenn die kiste auf eine ihrer sechs seiten gestellt wird. wie groß sollte der radius des tanks sein, wenn er das größtmögliche volumen haben soll?",8.0,"import math
n0 = 12.0
n1 = 16.0
n2 = 18.0
t0 = n1 / 2.0
t1 = n0 * 3.141592653589793
t2 = math.pi * t0**2 * n0
t3 = t2 / t1
answer = math.sqrt(max(0, t3))
print(answer)",MathQA_Geometry
Geometry,geometry,"drei tischläufer haben zusammen eine fläche von 224 Quadratzoll. wenn man die tischläufer so übereinander legt, dass sie 80 % eines tisches mit einer fläche von 175 Quadratzoll bedecken, beträgt die fläche, die von genau zwei lagen tischläufern bedeckt wird, 24 Quadratzoll. wie groß ist die fläche des tisches, die mit drei lagen tischläufern bedeckt wird?",30.0,"n0 = 224.0
n1 = 80.0
n2 = 175.0
n3 = 24.0
t0 = n1 / 100.0
t1 = n0 - n3
t2 = n2 * t0
t3 = t1 - t2
answer = t3 / 2.0
print(answer)",MathQA_Geometry
Geometry,geometry,"30 gleich große quadratische Steinplatten werden benötigt, um eine Bodenfläche von 120 m² zu bedecken.",200.0,"import math
n0 = 30.0
n1 = 120.0
t0 = n1 / n0
t1 = math.sqrt(max(0, t0))
answer = t1 * 100.0
print(answer)",MathQA_Geometry
