category,subcategory,question,answer,reasoning,source
Word Problems,add_sub,"Paco 's Countertop Company kaufte Marmorstücke aus einem Steinbruch. Das Gewicht der gekauften Stücke betrug 0,3333333333333333 t, 0,3333333333333333 t und 0,08333333333333333 t. Wie viele Tonnen Marmor hat Paco 's Countertop Company insgesamt gekauft?",0.75,X = 0.3333333333333333 + 0.3333333333333333 + 0.08333333333333333,AddSub
Word Problems,add_sub,Beim Spielen eines Videospiels hat Paul 3103 Punkte erreicht. Er und sein Cousin haben zusammen insgesamt 5816 Punkte. Wie viele Punkte hat Pauls Cousin?,2713.0,X = 5816.0 - 3103.0,AddSub
Word Problems,add_sub,Ein Mitarbeiter eines medizinischen Labors untersucht Blutproben. 2 Proben enthielten insgesamt 7341 Blutzellen. Die erste Probe enthielt 4221 Blutzellen. Wie viele Blutzellen waren in der zweiten Probe?,3120.0,X = 7341.0 - 4221.0,AddSub
Word Problems,add_sub,Tim hat 44 Bücher. Sam hat 52 Bücher. Wie viele Bücher haben sie zusammen?,96.0,X = 44 + 52,AddSub
Word Problems,add_sub,"Ein mit Getreide beladenes Schiff kracht in ein Korallenriff. Bis das Schiff repariert ist, sind 49952 Tonnen Getreide ins Wasser geflossen. Nur 918 Tonnen Getreide bleiben an Bord. Wie viele Tonnen Getreide hatte das Schiff ursprünglich geladen?",50870.0,X = 49952.0 + 918.0,AddSub
Word Problems,add_sub,Joans High School hat in diesem Jahr 864 Baseballspiele ausgetragen. 128 der Spiele fanden abends statt. Sie besuchte 395 Spiele. Wie viele Baseballspiele hat Joan verpasst?,469.0,X = 864 - 395,AddSub
Word Problems,add_sub,"Benny erhielt 79 Dollar und 9 Kinokarten zu seinem Geburtstag. Er ging in ein Sportgeschäft und kaufte einen Baseballhandschuh, einen Baseball und einen Schläger. Er hatte 32 Dollar übrig, wie viel hat er für die Baseballausrüstung ausgegeben?",47.0,X = 79 - 32,AddSub
Word Problems,add_sub,"Kevin hat 2 Wassermelonen gekauft. Die erste Wassermelone wog 9,91 Pfund und die zweite Wassermelone wog 4,11 Pfund. Wie viele Pfund Wassermelone hat Kevin gekauft?",14.02,X = 9.91 + 4.11,AddSub
Word Problems,add_sub,"Mary fand 45 Muscheln, Melanie fand 23 Muscheln, und Jason fand 32 Muscheln am Strand. Als sie sie säuberten, stellten sie fest, dass 31 Muscheln zerbrochen waren. Wie viele Muscheln haben sie zusammen gefunden?",100.0,X = 45 + 23 + 32,AddSub
Word Problems,add_sub,"Derzeit gibt es 9 Eichen im Park. Parkarbeiter mussten 2 Eichen fällen, die beschädigt waren. Wie viele Eichen wird der Park haben, wenn die Arbeiter fertig sind?",7.0,X = 9 - 2,AddSub
