category,subcategory,question,answer,reasoning,source
Word Problems,add_sub,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are 12170 ladybugs with spots and 54912 ladybugs without spots . How many ladybugs are there in all ? ",67082.0,X = 12170.0 + 54912.0,AddSub
Word Problems,add_sub,Last week Tim had 12 dollars and Keith had 36 dollars . Tim washed cars over the weekend and now has 75 dollars . How much money did Tim make washing cars ? ,63.0,12 + X = 75,AddSub
Word Problems,add_sub,Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was 3 inches long and the orange caterpillar was 1.1666666666666667 inches long . How much longer was the green caterpillar than the orange caterpillar ? ,1.833333333333333,X = 3.0 - 1.1666666666666667,AddSub
Word Problems,add_sub,"In 1 week , Mitch 's family drank 0.5 carton of regular milk and 0.1 carton of soy milk . How much milk did they drink in all ? ",0.6000000000000001,X = 0.5 + 0.1,AddSub
Word Problems,add_sub,"Alyssa went to 11 soccer games this year , but missed 12 . She went to 13 games last year and plans to go to 15 games next year . How many soccer games will Alyssa go to in all ? ",39.0,X = 11 + 13 + 15,AddSub
Word Problems,add_sub,"A cell phone company has a total of 7422 customers across the world . If 723 of its customers live in the United States , how many of its customers live in other countries ? ",6699.0,X = 7422.0 - 723.0,AddSub
Word Problems,add_sub,Jason has 18 books and he has read 9 of them . Mary has 42 books . How many books do they have together ? ,60.0,X = 18 + 42,AddSub
Word Problems,add_sub,Sara had 100 pennies and 783 quarters in her bank . Her dad borrowed 271 quarters from Sara . How many quarters does she have now ? ,512.0,X = 783 - 271,AddSub
Word Problems,add_sub,"In Mr. Olsen 's mathematics class , 0.7 the students received A 's and 0.2 received B 's . What fraction of the students received either A 's or B 's ? ",0.9,X = 0.7 + 0.2,AddSub
Word Problems,add_sub,Mary is baking a cake . The recipe calls for 7 cups of flour and 3 cups of sugar . She already put in 2 cups of flour . How many cups of flour does she need to add ? ,5.0,X = 7 - 2,AddSub
Word Problems,add_sub,There are 48 erasers in the drawer and 30 erasers on the desk . Alyssa placed 39 erasers and 45 rulers on the desk . How many erasers are now there in total ? ,117.0,X = 48 + 30 + 39,AddSub
Word Problems,add_sub,Sandy 's dog had 8 puppies and 4 had spots . She gave 4 to her friends . How many puppies does she now have ? ,4.0,X = 8 - 4,AddSub
Word Problems,add_sub,"Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked 0.2 mile from the car to a stream , and 0.4 mile from the stream to a meadow . Then they hiked 0.1 mile from the meadow to the campsite . How many miles did Irwin 's family hike in all ? ",0.7000000000000001,X = 0.2 + 0.4 + 0.1,AddSub
Word Problems,add_sub,Each of farmer Cunningham 's 6048 lambs is either black or white . There are 193 white ones . How many of Farmer Cunningham 's lambs are black ? ,5855.0,X = 6048.0 - 193.0,AddSub
Word Problems,add_sub,Sam has 86 yellow and 20 green marbles . Joan took 25 of Sam 's yellow marbles . How many yellow marbles does Sam now have ? ,61.0,X = 86 - 25,AddSub
Word Problems,add_sub,"Milford Lake was originally blue because it only had 809 algae plants . Now there are 3263 algae plants , and the lake has turned green . How many more algae plants are in Milford Lake now ? ",2454.0,X = 3263.0 - 809.0,AddSub
Word Problems,add_sub,Mike had 34 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86 peaches . how many did he pick ? ,52.0,X = 86 - 34,AddSub
Word Problems,add_sub,Mary had 21 dimes and 38 pennies in her bank . Her dad borrowed 18 pennies from Mary . How many pennies does she have now ? ,20.0,X = 38 - 18,AddSub
Word Problems,add_sub,Jason has 676 Pokemon cards . Alyssa bought 224 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ? ,452.0,X = 676 - 224,AddSub
Word Problems,add_sub,Jason found 49 seashells and 48 starfish on the beach . He gave 13 of the seashells to Tim . How many seashells does Jason now have ? ,36.0,X = 49 - 13,AddSub
Word Problems,add_sub,"Joan had 695 Pokemon cards , and 6 were torn . Sara bought 133 of Joan 's Pokemon cards . How many Pokemon cards does Joan have now ? ",562.0,X = 695 - 133,AddSub
Word Problems,add_sub,Alyssa picked 25 limes and Mike picked 32 limes . Tom picked 12 plums . How many limes were picked in all ? ,57.0,X = 25 + 32,AddSub
Word Problems,add_sub,"Sally found 9 seashells , Tom found 7 seashells , and Jessica found 5 seashells on the beach . How many seashells did they find together ? ",21.0,X = 9 + 7 + 5,AddSub
Word Problems,add_sub,Sara picked 45 pears and Sally picked 11 pears from the pear tree . How many pears were picked in total ? ,56.0,X = 45 + 11,AddSub
Word Problems,add_sub,"Mike picked 7 apples , Nancy picked 3 apples , and Keith picked 6 apples and 4 pears , at the farm . How many apples were picked in total ? ",16.0,X = 7 + 3 + 6,AddSub
Word Problems,add_sub,Sally has 9 orange balloons and 4 blue balloons . She lost 2 of the orange balloons . How many orange balloons does Sally have now ? ,7.0,X = 9 - 2,AddSub
Word Problems,add_sub,"Fred has 5 yellow balloons , Sam has 6 yellow balloons , and Mary has 7 yellow balloons . The balloons cost 5 dollars . How many yellow balloons do they have in total ? ",18.0,X = 5 + 6 + 7,AddSub
